H_id,H_trial,H_headFront_x,H_headFront_y,H_headFront_z,H_neck_x,H_neck_y,H_neck_z,H_lowerBack_x,H_lowerBack_y,H_lowerBack_z,H_leftWrist_x,H_leftWrist_y,H_leftWrist_z,H_leftShoulder_x,H_leftShoulder_y,H_leftShoulder_z,H_leftElbow_x,H_leftElbow_y,H_leftElbow_z
24474,1,-319.182251,-253.413269,2013.931763,-268.4694824,-297.3803101,1812.766602,-352.833252,-76.86572266,2226.392334,-344.6220093,-246.6398926,2019.19043,-425.375885,-317.5209045,1876.49231,-458.9457092,-309.872467,2048.477295
24475,1,-324.8724365,-255.8826294,2016.539551,-263.2279663,-296.7580566,1813.049438,-360.3115234,-78.40844727,2227.193848,-345.930542,-249.307251,2021.375488,-422.4119873,-318.4367981,1876.579102,-436.1574707,-327.2098999,2036.989624
24476,1,-332.3806152,-261.737793,2014.869141,-254.8671875,-296.3553467,1814.720215,-359.4285278,-69.63616943,2221.894531,-348.7531128,-254.7974854,2016.734619,-418.7045593,-322.2336121,1875.052246,-400.2773132,-308.4179077,2049.014404
24477,1,-337.4924927,-264.0443726,2015.822754,-253.5285034,-296.7333984,1815.203247,-359.7070923,-69.35461426,2217.768799,-351.4825439,-256.3983765,2017.758911,-416.9743347,-320.4704895,1875.497314,-398.5614319,-275.7425537,2060.052246
24478,1,-330.7871094,-264.5020142,2002.354492,-251.7454834,-298.5339966,1811.950806,-359.3481445,-70.51245117,2221.918945,-347.4867554,-257.9002075,2005.883301,-415.8324585,-326.0692749,1875.51355,-404.4909058,-328.9273987,2061.694336
24479,1,-320.324585,-268.9284058,2021.928711,-242.1785278,-301.901123,1813.592407,-355.994812,-70.20404053,2224.498779,-340.0491943,-262.8681641,2020.980591,-410.8614502,-334.8883667,1881.016602,-413.2822876,-323.4528503,2051.327148
24480,1,-315.7149048,-266.4228516,2023.137207,-238.3145142,-302.1212158,1816.142334,-357.0939941,-76.17034912,2226.434082,-336.5983887,-261.2731323,2025.643677,-408.2368774,-331.0097351,1879.351929,-412.8720093,-334.78302,2030.393311
24481,1,-307.2144775,-261.4553223,2010.93103,-234.727417,-301.6281738,1814.020264,-358.1022949,-74.20220947,2215.538086,-328.5325317,-260.1107178,2016.371094,-402.914856,-338.0818481,1880.585205,-411.274231,-355.5819397,2054.983887
24482,1,-301.9512329,-263.2202148,2010.631226,-236.4616089,-304.9815063,1812.457764,-353.5731812,-73.74658203,2211.211914,-325.4693604,-258.5263672,2014.342773,-400.6155396,-337.5423279,1881.990601,-405.6254272,-314.7424316,2050.617676
24483,1,-302.7796631,-246.6633301,2021.584839,-232.2895508,-303.1206665,1813.571533,-355.456665,-74.80957031,2216.636719,-326.2591553,-250.9279175,2023.029053,-396.2003479,-344.7683411,1882.346924,-396.0091553,-330.840332,2040.985107
24484,1,-301.6828003,-248.0584106,2027.716553,-226.9483032,-308.3211975,1813.608765,-344.8331909,-95.99383545,2233.668213,-327.201355,-255.5373535,2028.715332,-393.7307434,-349.4362488,1885.165771,-391.0858765,-294.190918,2021.719238
24485,1,-292.4160156,-268.7542114,2028.735229,-221.5292969,-311.8811646,1812.944336,-346.1470947,-75.62188721,2208.548096,-314.3295288,-268.1253052,2025.293213,-383.945343,-356.9606018,1886.398193,-369.9497986,-312.2224731,2038.0802
24486,1,-299.0076294,-239.1115723,2025.973389,-212.9506836,-328.0257568,1816.24707,-344.3056641,-103.0686035,2240.686523,-318.1537476,-248.4765625,2028.306641,-377.4986877,-372.1199951,1879.793335,-376.0553284,-327.2366638,2049.677246
24487,1,-302.8776855,-240.9893799,2022.084473,-209.4556885,-333.6195068,1818.133423,-347.8162231,-97.96179199,2247.951904,-323.2240601,-246.0889282,2024.668701,-374.6035461,-373.4095459,1886.276001,-368.7008057,-320.6033936,2061.928223
24488,1,-306.4292603,-248.4837646,2024.193359,-220.3599243,-327.486084,1815.958008,-344.9668579,-89.5390625,2242.437744,-332.4417114,-242.3832397,2021.619141,-365.7973633,-382.6555786,1901.156006,-390.3665466,-203.7258301,2018.160645
24489,1,-294.9996948,-253.5461426,2025.125488,-206.7324829,-339.913208,1819.946411,-332.0582275,-91.93151855,2238.369385,-317.3292236,-255.1016846,2026.445801,-371.9762573,-377.947052,1892.62854,-362.4963379,-287.7011719,2049.200195
24490,1,-273.8544312,-258.8094482,2035.239258,-198.5236206,-355.0386047,1824.999878,-307.253479,-122.8190918,2268.288574,-304.9370117,-269.2352295,2041.545166,-357.0622559,-402.9354858,1900.868164,-384.6581421,-337.2267761,2031.09668
24491,1,-275.5715332,-299.6965942,2035.61499,-185.8336182,-363.6176453,1827.895996,-282.7247925,-117.1870117,2260.630127,-297.2879028,-300.9008179,2039.031982,-357.9156799,-404.5652771,1905.376343,-395.5715637,-342.6380005,2045.558228
24492,1,-288.3248291,-315.5303955,2037.641602,-191.4912109,-369.3065796,1821.550781,-315.1749268,-92.75726318,2220.047607,-306.3601074,-308.8355103,2031.464844,-349.0567932,-413.995575,1907.521851,-355.4815674,-297.3412476,2037.025146
24493,1,-273.9429321,-359.2908325,2044.607666,-189.1551514,-386.2793579,1837.40332,-330.2305908,-98.60351563,2229.520996,-289.1761475,-360.9591064,2050.876953,-351.5795898,-435.2432251,1911.756836,-304.2470703,-425.2428589,2080.921143
24494,1,-272.0722046,-373.1553955,2057.246582,-183.7467651,-395.840332,1834.591797,-329.4463501,-106.90448,2246.707275,-291.0552368,-367.5947266,2062.822266,-348.4069214,-442.1977539,1918.122559,-323.8931274,-422.7000732,2100.717285
24495,1,-262.7280273,-351.7816772,2063.11377,-184.9790039,-398.914978,1832.958618,-319.3853149,-108.9318237,2250.925781,-283.2558594,-357.0738525,2067.631104,-341.7764587,-455.9144897,1924.312622,-342.9577026,-461.1741943,2099.845703
24496,1,-263.7644043,-374.6223755,2057.95752,-181.6873779,-419.4728394,1837.373535,-322.9353638,-109.9993896,2241.634766,-278.9980469,-375.5046997,2066.08374,-338.7233582,-468.2902527,1926.843506,-306.6776733,-476.4164429,2118.349121
24497,1,-265.4143066,-395.8355713,2060.475342,-177.6939697,-432.6992798,1840.538574,-327.8259888,-118.0496826,2241.999512,-278.3858643,-398.0939941,2070.123047,-336.3243408,-483.4789734,1930.526489,-326.1178589,-534.4956055,2186.215332
24498,1,-253.8555298,-400.2669067,2067.432617,-172.0645142,-433.3959961,1838.381592,-320.7786865,-138.6939087,2246.386719,-276.3501587,-406.187439,2067.142578,-331.7503967,-492.1589661,1923.642944,-339.8403015,-539.8586426,2119.91748
24499,1,-250.9100342,-429.8426514,2074.384766,-165.8643799,-445.3245239,1847.308472,-333.8096008,-123.2078247,2224.540283,-272.4147949,-436.619812,2076.742676,-323.2021484,-503.8132629,1923.799561,-298.814209,-529.3901367,2114.739014
24500,1,-258.3448486,-458.1213379,2095.310547,-163.6600952,-455.0076904,1848.287598,-344.980835,-131.9337158,2208.36084,-273.9387207,-458.7922363,2097.912354,-319.3408508,-525.3129272,1935.51416,-287.3308105,-650.4841309,2214.938232
24501,1,-253.6732178,-455.4558105,2080.553955,-158.9008789,-462.9750366,1848.593994,-339.0249634,-142.0172729,2223.364746,-275.3626099,-454.6974487,2084.226563,-319.4057007,-522.3460693,1928.803833,-326.5800476,-567.1176758,2106.052979
24502,1,-236.8591309,-448.8893433,2073.850586,-157.0134888,-466.5169678,1842.320068,-329.885376,-147.4299927,2179.414307,-263.998291,-446.1908569,2073.565674,-311.3054199,-531.0206299,1928.046875,-289.1334839,-611.7163696,2112.641113
24503,1,-247.2821655,-455.6461792,2064.580566,-156.9772949,-480.6911621,1838.758667,-306.3688049,-156.1069946,2131.782227,-270.5039673,-458.0383911,2065,-292.2647705,-558.7225342,1934.52417,-295.270752,-583.3987427,2132.702881
24504,1,-231.1945801,-419.7636719,2054.610107,-156.0613403,-480.395752,1836.07251,-308.8215332,-163.862793,2171.062012,-256.277832,-427.7731934,2055.043701,-291.9542847,-561.6798096,1931.768799,-301.7902832,-640.8902588,2106.830078
24505,1,-242.3661499,-402.4797974,2056.504395,-148.6395264,-493.199707,1831.483154,-329.6736145,-170.4140015,2163.318359,-271.8852539,-404.1565552,2052.070557,-287.3289795,-555.1531982,1923.869019,-253.0831299,-528.5266724,2079.000488
24506,1,-228.6817627,-408.850708,2032.634521,-146.2554321,-499.7341309,1831.437012,-340.2979431,-187.7788696,2181.513184,-253.12854,-411.8374023,2038.931763,-292.4547729,-556.6390381,1921.723389,-293.8735352,-496.8077393,2086.723877
24507,1,-230.9800415,-405.8218994,2020.97876,-134.6869507,-515.5940552,1837.630005,-354.2964172,-190.5026855,2174.443359,-253.7911377,-411.4287109,2031.829346,-280.9047852,-579.5510254,1918.519287,-278.0632935,-567.7312622,2093.358887
24508,1,-225.6281128,-439.2397461,1988.576172,-129.2078857,-515.6549683,1818.672485,-343.1654358,-191.9412842,2133.338379,-235.5130005,-441.1199951,1987.932617,-276.2058105,-597.6495361,1910.587036,-227.5026245,-703.7160645,2093.05542
24509,1,-214.8331909,-443.7518921,1983.658203,-122.8833618,-522.3668823,1815.167358,-338.5465088,-183.9733276,2116.205078,-226.1929932,-448.6399536,1980.342041,-262.4100952,-618.1813965,1919.989502,-204.6115723,-721.9525146,2079.478516
24510,1,-213.5229492,-456.0339966,1968.141602,-114.197876,-527.7061768,1810.812378,-341.0683594,-190.2436523,2110.029785,-225.2587891,-463.1702881,1966.890381,-253.402832,-626.2311401,1906.285889,-224.0009766,-726.0373535,2092.857178
24511,1,-192.5114746,-474.9067383,1960.830811,-101.7624512,-540.930481,1818.467041,-342.2904358,-212.3187256,2102.314209,-210.4692383,-479.2924194,1962.851807,-241.9754333,-634.6593628,1902.338867,-216.7814331,-694.1531982,2084.490723
24512,1,-206.6255493,-497.6877441,1992.729126,-99.17767334,-539.4274902,1816.749634,-341.6271362,-209.3530884,2087.946777,-217.4748535,-497.1158447,1990.829102,-236.3552246,-638.5651855,1892.270874,-173.0896606,-760.6412354,2086.110352
24513,1,-190.1867676,-542.7237549,1990.699585,-95.57635498,-556.7478027,1821.883545,-335.0398254,-234.8094482,2075.044922,-208.4475098,-540.682251,1991.583496,-229.9119263,-661.267334,1895.724731,-186.9431763,-810.9257202,2082.869141
24514,1,-189.7995605,-520.0812378,1966.368042,-83.07080078,-558.534729,1812.786621,-342.0184021,-233.4974365,2109.884766,-201.6256714,-520.5162354,1967.039551,-218.0785522,-663.9396973,1895.344238,-162.5418701,-754.5460815,2087.305176
24515,1,-160.4604492,-522.7755127,1967.793823,-73.7354126,-567.2964478,1812.351563,-346.3161621,-243.0048218,2101.65625,-178.499939,-521.8214111,1966.634766,-194.9818726,-681.4501953,1894.438721,-148.9476929,-775.6156006,2114.617676
24516,1,-132.7967529,-580.7425537,1992.200928,-67.18554688,-574.8386841,1817.057861,-327.6959229,-258.2321777,2069.024902,-151.859314,-573.1453247,1997.015869,-217.0579529,-651.6761475,1876.700562,-163.6244507,-758.442749,2094.850098
24517,1,-131.9486084,-546.3514404,1928.769531,-69.96240234,-592.2749023,1810.522461,-339.1192017,-267.1257935,2062.364502,-148.7819214,-549.8916016,1929.853638,-179.1532593,-700.3400269,1882.266113,-132.5302734,-781.9605713,2088.655762
24518,1,-120.3548584,-538.6511841,1898.559326,-55.10406494,-600.2995605,1809.173584,-326.5772705,-263.0247803,2049.707031,-135.3873291,-540.8484497,1896.290039,-173.3034363,-695.876709,1878.307617,-137.9334717,-790.7645264,2056.569824
24519,1,-123.2965698,-557.8662109,1911.963379,-55.45825195,-602.5179443,1803.765137,-329.4174194,-273.4754028,2045.844482,-138.8692017,-559.3010864,1911.122314,-176.3189087,-703.5909424,1885.485596,-121.446106,-818.5776367,2082.537109
24520,1,-123.3922729,-561.5993652,1940.942017,-39.47583008,-592.5710449,1807.468384,-326.1481934,-269.5952759,2066.424316,-136.7001343,-562.6188965,1937.711182,-166.4769287,-713.0046997,1879.945801,-128.262146,-800.5964355,2060.887207
24521,1,-113.3510132,-579.5012207,1960.799927,-37.3894043,-594.1583252,1807.439209,-328.8953857,-278.6433105,2065.037354,-129.5818481,-580.7056885,1958.363037,-159.405365,-723.2122803,1880.404053,-121.5979004,-844.1886597,2075.51123
24522,1,-114.0728149,-575.9273682,1949.03833,-30.96148682,-600.6478271,1807.812866,-328.0248413,-283.2712402,2060.397461,-130.6531982,-575.4234009,1941.317871,-160.4807129,-720.7775879,1878.853149,-126.4008179,-821.8074951,2057.515381
24523,1,-108.4442749,-586.6550293,1936.176514,-28.8427124,-615.8532715,1810.296875,-325.4260864,-289.0774536,2054.65332,-125.15979,-590.102356,1935.25354,-154.8171997,-732.5782471,1885.912964,-110.6515503,-843.3131104,2079.198242
24524,1,-112.7618408,-582.1096191,1955.273193,-21.2164917,-610.8233032,1816.892578,-333.4695129,-302.9133911,2053.977295,-127.5665283,-584.9457397,1954.808105,-146.8654175,-735.9313965,1886.902832,-109.5336304,-850.2398071,2071.086914
24525,1,-104.8568726,-606.2495728,1968.582886,-15.71307373,-621.8670044,1820.687256,-330.1798096,-303.1634521,2044.563721,-120.2862549,-609.9523926,1962.128296,-142.8264771,-749.8023071,1888.719116,-112.8535156,-837.2426758,2064.361084
24526,1,-106.7037354,-592.5977783,1964.108643,-14.10748291,-622.0259399,1816.051025,-329.3325806,-308.4669189,2042.585815,-123.1655884,-600.2403564,1959.025879,-140.9144897,-745.6164551,1886.171631,-95.67230225,-832.0169678,2063.625977
24527,1,-95.92999268,-599.7878418,1962.091064,-8.090270996,-633.8916626,1820.985718,-305.0323792,-337.6207275,2037.505737,-114.3048706,-605.951355,1957.586304,-132.6767578,-752.9130249,1893.881836,-94.99291992,-860.7071533,2064.536865
24528,1,-96.09869385,-597.2902832,1951.78125,0.424499512,-630.3388672,1816.272827,-340.0508728,-334.012085,2037.039063,-112.9388428,-605.2649536,1952.535522,-134.3692322,-747.8829956,1894.208862,-92.51153564,-869.4979858,2052.999023
24529,1,-85.83679199,-596.7352295,1943.573242,5.875488281,-630.5673828,1817.254028,-294.9133911,-358.7255859,2048.612305,-105.6789551,-604.7322388,1943.480713,-132.2554626,-744.4309082,1887.813232,-97.87585449,-836.1826172,2042.182739
24530,1,-92.7019043,-601.1315308,1933.47583,13.61712646,-634.5251465,1830.764648,-322.4721069,-321.7935181,2024.630615,-109.0931396,-603.6165161,1937.799805,-129.2183228,-747.4733887,1887.511475,-97.70849609,-825.0550537,2041.75708
24531,1,-79.97064209,-601.4795532,1939.669678,14.82519531,-636.9380493,1828.875488,-319.6766357,-323.9559326,2016.397705,-101.8375244,-607.208374,1943.242432,-127.8416748,-749.5720215,1893.919922,-67.18615723,-876.2207642,2069.403076
24532,1,-74.10345459,-598.2731934,1938.470215,19.84912109,-636.4225464,1830.47168,-316.4279175,-334.1983032,2016.02832,-96.75097656,-606.8493652,1943.164673,-124.0876465,-753.6179199,1896.851807,-54.82763672,-897.6436157,2098.032715
24533,1,-72.34814453,-606.9604492,1939.179688,28.00244141,-641.7631836,1838.520752,-314.8283386,-339.6560059,2000.933228,-89.06384277,-612.0837402,1939.906128,-109.2610474,-764.6511841,1899.077393,-55.35357666,-884.9664307,2076.999268
24534,1,-68.85040283,-614.0872192,1942.313721,34.79821777,-648.4154053,1845.685669,-324.4516602,-350.7813721,1989.404053,-84.27911377,-620.0629272,1942.827881,-105.602356,-772.3063354,1905.022461,-54.23449707,-895.7770386,2075.842529
24535,1,-70.65209961,-614.0985107,1943.540161,38.81463623,-651.3665161,1848.360107,-324.7886658,-352.9604492,1985.369507,-86.47332764,-620.2880859,1943.254395,-103.3283691,-773.3765869,1908.359375,-61.58111572,-895.2811279,2089.650146
24536,1,-73.03527832,-615.581604,1944.171631,41.35009766,-653.3814697,1849.438477,-324.2857361,-357.2625732,1987.360962,-87.56048584,-621.8287964,1943.899414,-98.52587891,-774.9648438,1907.747314,-59.39007568,-894.2460938,2089.263672
24537,1,-70.77374268,-617.2044678,1944.195435,45.60119629,-656.3959351,1851.617676,-321.3989563,-357.9735107,1982.817871,-86.56188965,-623.1238403,1941.967407,-98.21228027,-778.0684814,1910.907959,-67.27258301,-894.3492432,2102.613281
24538,1,-68.78833008,-614.8046265,1947.289429,45.5380249,-656.5324707,1851.86377,-332.0746155,-370.2532959,1984.724243,-87.08959961,-621.7405396,1943.352539,-93.12054443,-781.986084,1908.034302,-55.69152832,-893.2151489,2084.883545
24539,1,-71.09173584,-626.171936,1954.472412,47.68530273,-663.6583252,1854.837646,-311.8756409,-349.9258423,1991.544189,-83.70806885,-629.0163574,1953.684082,-85.27752686,-797.2213135,1915.789795,-44.22637939,-903.798645,2095.395996
24540,1,-69.1116333,-625.6390381,1951.366943,50.01812744,-667.0949707,1855.72998,-320.8144531,-357.9124756,1992.749756,-81.30987549,-631.8093262,1950.218506,-84.68701172,-799.74646,1917.758423,-52.43865967,-900.0563965,2095.430664
24541,1,-69.96624756,-624.2955933,1951.402222,52.73626709,-668.2612305,1856.329834,-323.1547546,-359.9385376,1996.143066,-82.70532227,-631.0966797,1950.564941,-84.83825684,-800.975708,1917.869141,-56.41491699,-891.0726929,2095.45874
24542,1,-71.31567383,-623.6471558,1948.446533,52.80450439,-670.4775391,1856.52478,-314.4324951,-355.6488037,1994.04248,-82.28808594,-628.8378906,1949.547852,-86.41394043,-801.3948364,1919.692627,-51.46307373,-894.8134766,2094.82666
24543,1,-68.64923096,-623.6377563,1947.603027,53.99981689,-672.5741577,1856.442627,-312.0124817,-354.310791,1994.301758,-81.49578857,-628.175293,1948.787354,-92.06286621,-791.1496582,1916.272705,-53.42382813,-892.2440186,2091.583008
24544,1,-74.71386719,-626.5342407,1945.402954,54.60528564,-675.4515991,1856.122803,-320.6729126,-359.9089966,1996.789063,-84.93475342,-630.7225952,1944.828003,-88.89373779,-797.9041138,1918.065796,-52.57055664,-894.4793091,2092.4104
24545,1,-68.07067871,-631.645752,1939.077393,55.02099609,-677.5241699,1856.227783,-320.4142761,-363.9399414,1990.716797,-83.4519043,-633.9364624,1939.070923,-93.02056885,-794.2089844,1917.861816,-64.58880615,-893.4716797,2079.408203
24546,1,-73.61462402,-624.7457275,1933.787354,57.27032471,-676.1204834,1855.86499,-317.8547363,-365.5967407,1998.853394,-88.07867432,-625.7530518,1931.707642,-87.13751221,-794.2912598,1915.087402,-59.54150391,-851.2947998,2056.386475
24547,1,-75.66558838,-616.4879761,1935.241211,58.00616455,-677.4794312,1856.348267,-326.6228027,-372.9116211,2003.90332,-90.44311523,-623.2017822,1930.993408,-84.70172119,-798.6748047,1918.870361,-54.90441895,-890.3095093,2088.266602
24548,1,-76.97021484,-617.3796387,1929.45459,55.87304688,-680.5623779,1856.391724,-330.8067932,-377.9917603,2002.554932,-91.18035889,-624.1092529,1925.639404,-83.31860352,-803.5443115,1920.185303,-61.87420654,-880.567749,2076.550781
24549,1,-80.1116333,-618.3766479,1928.796509,56.83618164,-682.9742432,1857.602417,-325.9882813,-373.3458252,2005.100342,-92.39245605,-626.1235352,1926.238037,-79.59674072,-812.2609863,1924.508545,-54.20819092,-895.5924072,2085.217041
24550,1,-63.18707275,-633.5363159,1941.287109,53.90234375,-686.2751465,1861.697754,-313.6705627,-363.9859009,1994.86499,-80.06488037,-640.1716309,1945.732666,-86.49066162,-810.02771,1925.393433,-58.73773193,-908.8789063,2097.226074
24551,1,-66.75158691,-634.4817505,1944.022949,53.09136963,-684.5157471,1861.179688,-315.589325,-364.055603,2000.656128,-82.07769775,-640.9779053,1947.325562,-94.25640869,-796.6491699,1920.159058,-56.93566895,-908.2017822,2097.336426
24552,1,-56.57617188,-628.1334229,1951.821533,52.85882568,-683.989624,1861.834717,-305.7947083,-357.2914429,1993.53833,-77.68066406,-636.6151123,1954.121338,-93.57019043,-798.9528809,1922.39563,-72.60656738,-892.7601318,2100.875977
24553,1,-57.79315186,-625.140625,1952.071533,51.55621338,-684.9637451,1861.923584,-307.9996948,-357.2932129,2001.146606,-77.51434326,-632.8600464,1952.376221,-99.8805542,-787.6886597,1920.865112,-64.36779785,-896.2944336,2103.022705
24554,1,-61.31280518,-619.2423706,1952.190552,52.05316162,-682.1523438,1861.655273,-309.3918152,-357.2298584,2001.248535,-79.66223145,-628.815979,1954.540283,-97.58496094,-791.1151123,1922.604614,-65.60223389,-896.1140137,2113.525879
24555,1,-56.9888916,-629.5291138,1958.720947,46.28759766,-684.0808105,1862.890991,-304.3780518,-351.55896,2003.733887,-81.03302002,-637.7532959,1962.13147,-98.5189209,-809.256958,1923.358398,-69.87719727,-895.1505127,2097.929443
24556,1,-72.20776367,-633.9398193,1957.661377,44.21142578,-682.7866211,1862.625,-314.0180054,-359.3743286,2008.765137,-88.76599121,-639.6173096,1961.106323,-105.1743774,-793.588623,1919.882202,-64.73968506,-874.7041016,2091.099121
24557,1,-78.13830566,-622.3689575,1954.41333,43.0446167,-685.4031982,1862.870972,-311.9452209,-360.1877441,2009.825806,-93.06665039,-631.0418701,1957.742432,-105.3214111,-794.3730469,1919.803345,-59.67230225,-895.4732666,2100.168701
24558,1,-74.2532959,-615.519043,1956.776123,41.46075439,-683.9984131,1863.485352,-311.9662781,-354.1947632,2009.352905,-90.83892822,-627.9989624,1961.294678,-107.3760986,-791.9118652,1921.561279,-55.75897217,-912.3375854,2112.027832
24559,1,-76.51739502,-609.2564697,1951.571289,42.70031738,-680.869812,1860.759766,-303.9415588,-351.3950195,2008.811035,-91.70837402,-621.1715088,1952.057007,-111.1888428,-783.1738281,1920.103271,-41.74914551,-914.5615234,2120.76416
24560,1,-81.78875732,-612.0096436,1951.104492,40.99847412,-678.7714844,1859.973145,-312.1925659,-351.7434082,2008.184082,-95.17388916,-621.0480347,1951.412354,-113.6311646,-779.5441895,1918.759766,-44.97991943,-909.1411133,2114.802734
24561,1,-79.77947998,-609.6118164,1951.118652,38.43890381,-677.9619751,1859.501221,-319.7467957,-355.5826416,2011.748047,-94.69537354,-619.8137817,1952.217041,-115.2302246,-776.8068848,1918.437866,-49.81951904,-902.5534668,2108.146484
24562,1,-83.25195313,-603.8048706,1951.712891,39.27636719,-672.8727417,1857.281128,-307.630249,-334.3283691,2013.680786,-94.36901855,-610.9919434,1948.109619,-111.9090576,-775.4931641,1916.013794,-29.53564453,-914.6075439,2134.153564
24563,1,-76.39825439,-598.1689453,1945.451416,39.6552124,-670.100708,1855.899414,-308.3475647,-338.4471436,2014.734863,-91.45568848,-607.5258179,1943.195801,-111.8843384,-775.3228149,1917.766357,-32.03607178,-917.388916,2128.936035
24564,1,-77.89849854,-612.6630249,1948.608887,36.80786133,-677.3237305,1858.260132,-324.5263367,-361.3971558,2017.036255,-94.8684082,-621.930481,1948.63855,-113.6323853,-781.0704956,1919.749634,-61.99560547,-895.9029541,2110.804199
24565,1,-74.9887085,-617.6239624,1947.525635,35.90020752,-678.0935059,1857.588501,-322.4708252,-360.0698853,2020.590332,-93.76568604,-624.6242065,1946.625488,-113.3743896,-780.7619629,1919.271729,-68.13623047,-881.6494141,2101.585938
24566,1,-77.71697998,-616.3727417,1946.576782,36.04547119,-677.5655518,1858.10144,-322.0979614,-356.5391235,2019.843506,-95.26983643,-623.7706299,1946.967285,-111.9561157,-782.4174805,1919.838989,-70.71087646,-877.6333008,2098.914551
24567,1,-77.96429443,-616.8889771,1942.475586,34.7824707,-677.3231201,1858.334229,-327.9801941,-365.2009888,2024.677734,-95.59771729,-624.5897827,1943.995483,-112.8139648,-781.373291,1918.783447,-70.42321777,-884.3193359,2098.476318
24568,1,-78.80847168,-619.0863037,1942.809326,35.54766846,-676.5526123,1857.921021,-322.2518005,-361.1032104,2021.170776,-95.82946777,-624.9262695,1945.262451,-112.0844727,-782.2601318,1919.270386,-67.6706543,-885.1194458,2100.060547
24569,1,-82.16955566,-619.4401245,1943.014282,35.67364502,-676.1899414,1858.275879,-324.3300476,-361.4629517,2021.504883,-97.36022949,-625.3510742,1945.762695,-111.8369141,-780.8798218,1919.224854,-69.6628418,-879.5761719,2096.476563
24570,1,-77.95922852,-620.5252686,1946.249512,36.86907959,-677.0557861,1858.464966,-318.010437,-355.640625,2019.452148,-94.88885498,-626.322876,1946.614258,-109.8054199,-785.0777588,1921.313232,-66.8258667,-881.8622437,2098.827637
24571,1,-79.28668213,-616.8641968,1946.738159,37.39959717,-677.1600952,1859.126953,-324.2197876,-363.1558228,2023.048096,-96.36450195,-625.2445068,1948.347168,-111.2357178,-782.7042236,1921.245605,-71.84228516,-874.3435059,2096.709473
24572,1,-77.88006592,-618.2188721,1945.881836,38.71813965,-678.8033447,1859.681396,-326.4475403,-365.0878296,2023.189331,-95.81378174,-626.4328613,1947.94812,-111.2687988,-783.0697632,1922.510864,-69.44439697,-879.6358643,2099.070557
24573,1,-80.99731445,-616.4172974,1947.791016,38.4309082,-678.7581787,1859.274292,-333.9917297,-373.2473755,2026.910645,-97.06933594,-625.3717651,1947.848389,-113.7429199,-778.8868408,1920.594482,-70.21588135,-877.7202148,2099.000488
24574,1,-93.84283447,-619.1269531,1930.03833,40.2824707,-681.4772949,1860.258179,-342.3295898,-384.0175171,2028.746826,-102.8088379,-627.8806763,1939.986084,-112.0114746,-785.9804688,1922.211792,-77.60864258,-882.1744385,2099.919189
24575,1,-98.06719971,-618.324646,1938.072266,41.38659668,-682.0317993,1862.369629,-346.7728271,-379.1968994,2032.201904,-103.4880981,-628.3696289,1947.890137,-108.867981,-787.9631348,1922.735107,-66.90228271,-880.4423828,2099.113525
24576,1,-97.5244751,-620.0744019,1941.023926,42.17303467,-683.7380981,1863.898804,-342.5868835,-381.1877441,2032.179321,-102.4980469,-630.3883057,1952.18457,-108.6173096,-790.9875488,1923.88623,-63.43444824,-873.6289063,2106.896973
24577,1,-72.97363281,-624.4508057,1958.684082,42.55847168,-683.7486572,1864.518921,-303.2931519,-354.6480713,2014.690186,-91.02026367,-630.5348511,1963.227783,-105.2808228,-793.9012451,1926.444336,-78.99127197,-861.1103516,2119.149658
24578,1,-67.80212402,-624.7684937,1958.826782,43.73260498,-685.4251099,1865.366943,-297.8839722,-363.8612061,2018.42627,-87.58886719,-630.9121704,1962.929199,-101.2839966,-799.7612305,1928.080322,-89.33886719,-851.9067383,2116.134277
24579,1,-71.82922363,-625.3190918,1960.812134,43.6151123,-685.9332886,1865.311646,-302.7890625,-365.2954102,2016.881348,-90.3237915,-631.2381592,1964.857178,-99.34631348,-804.2857666,1929.360352,-75.70526123,-862.7025146,2108.537354
24580,1,-70.63671875,-626.4364624,1957.398926,45.28027344,-686.5540161,1866.666748,-316.18396,-362.1714478,2015.766724,-88.59899902,-632.6586304,1964.207397,-99.55126953,-799.9385986,1928.102539,-82.90826416,-845.0552979,2108.345459
24581,1,-70.58392334,-627.0296021,1958.262451,45.47015381,-685.4770508,1865.656982,-311.286438,-360.1607666,2015.049927,-89.33239746,-634.2719116,1963.052246,-103.3043213,-795.6744385,1925.002197,-93.64233398,-826.1135254,2101.506348
24582,1,-69.89849854,-621.2277222,1959.525635,45.74371338,-686.6496582,1866.045776,-308.6282043,-356.0491333,2014.373291,-87.74645996,-630.3212891,1963.225586,-96.72570801,-803.3867188,1929.867554,-86.7197876,-833.5911865,2112.437988
24583,1,-70.20184326,-624.1495361,1958.533203,46.26733398,-686.4384766,1865.873779,-309.3988647,-360.2670898,2018.290527,-88.91461182,-633.456543,1963.140503,-101.5407104,-797.9049072,1926.02478,-96.08538818,-822.885498,2106.138428
24584,1,-73.41894531,-615.598877,1956.82251,46.99053955,-680.458252,1862.363037,-310.2208252,-347.5872192,2015.756592,-87.42053223,-625.4335938,1954.185059,-100.5269165,-786.7495117,1924.179443,-39.32086182,-894.8026123,2119.399902
